"CodeC","NoImmat","DateDebLoc","DateFinLoc","KmDeb","KmFin"
3719,"IMM0002","2024-11-23","2024-11-27",23465,24181
2253,"IMM0002","2024-11-30","2024-12-09",24181,24239
327,"IMM0002","2024-12-03","2024-12-06",24239,24440
3430,"IMM0002","2024-12-17","2024-12-22",24440,24648
2836,"IMM0002","2024-12-21","2024-12-31",24648,25205
3887,"IMM0003","2023-01-06","2023-01-09",273,405
2149,"IMM0003","2023-01-09","2023-01-16",405,535
3753,"IMM0003","2023-03-07","2023-03-10",535,1096
2753,"IMM0003","2023-04-15","2023-04-24",1096,1194
2224,"IMM0003","2023-04-17","2023-04-23",1194,1391
1483,"IMM0003","2023-05-18","2023-05-25",1391,1897
3506,"IMM0003","2023-05-25","2023-06-04",1897,2462
4248,"IMM0003","2023-06-17","2023-06-27",2462,2977
4439,"IMM0003","2023-06-28","2023-07-07",2977,3499
3856,"IMM0003","2023-09-11","2023-09-17",3499,3849
2284,"IMM0003","2023-09-16","2023-09-22",3849,4424
2114,"IMM0003","2023-09-19","2023-09-27",4424,4775
568,"IMM0003","2023-10-14","2023-10-18",4775,5109
35,"IMM0003","2023-10-16","2023-10-18",5109,5784
1116,"IMM0003","2023-10-29","2023-11-08",5784,6542
1746,"IMM0003","2023-10-31","2023-11-07",6542,6595
2690,"IMM0003","2023-11-09","2023-11-19",6595,7090
1491,"IMM0003","2023-12-06","2023-12-14",7090,7480
525,"IMM0003","2023-12-09","2023-12-19",7480,7743
2058,"IMM0003","2024-01-31","2024-02-07",7743,8048
4227,"IMM0003","2024-04-02","2024-04-12",8048,8125
909,"IMM0003","2024-04-11","2024-04-14",8125,8460
4326,"IMM0003","2024-04-26","2024-05-01",8460,8811
3921,"IMM0003","2024-05-08","2024-05-18",8811,9109
3457,"IMM0003","2024-05-10","2024-05-16",9109,9575
974,"IMM0003","2024-06-13","2024-06-15",9575,9993
3356,"IMM0003","2024-07-06","2024-07-15",9993,10454
1115,"IMM0003","2024-07-13","2024-07-16",10454,11222
1967,"IMM0003","2024-07-14","2024-07-15",11222,11748
232,"IMM0003","2024-07-15","2024-07-22",11748,12141
2068,"IMM0003","2024-08-11","2024-08-20",12141,12221
2590,"IMM0003","2024-08-20","2024-08-24",12221,12375
3103,"IMM0003","2024-09-15","2024-09-16",12375,12559
1070,"IMM0003","2024-09-16","2024-09-24",12559,13259
2454,"IMM0003","2024-11-09","2024-11-13",13259,13563
434,"IMM0003","2024-11-29","2024-12-03",13563,14063
1444,"IMM0003","2024-11-30","2024-12-08",14063,14182
655,"IMM0004","2023-01-15","2023-01-24",4793,4872
1354,"IMM0004","2023-02-18","2023-02-27",4872,5618
4279,"IMM0004","2023-03-06","2023-03-09",5618,6014
1143,"IMM0004","2023-03-20","2023-03-22",6014,6239
4287,"IMM0004","2023-03-21","2023-03-30",6239,6679
3546,"IMM0004","2023-04-18","2023-04-28",6679,6771
2590,"IMM0004","2023-05-14","2023-05-24",6771,7100
3196,"IMM0004","2023-06-15","2023-06-25",7100,7881
4309,"IMM0004","2023-07-10","2023-07-15",7881,8110
4398,"IMM0004","2023-07-12","2023-07-21",8110,8320
4364,"IMM0004","2023-08-03","2023-08-08",8320,8829
295,"IMM0004","2023-08-26","2023-09-01",8829,9036
365,"IMM0004","2023-10-19","2023-10-23",9036,9167
1805,"IMM0004","2023-10-31","2023-11-03",9167,9848
4427,"IMM0004","2023-11-02","2023-11-11",9848,10369
747,"IMM0004","2023-11-02","2023-11-05",10369,10633
1306,"IMM0004","2023-11-23","2023-11-24",10633,10895
3544,"IMM0004","2023-11-30","2023-12-07",10895,11480
3576,"IMM0004","2023-12-06","2023-12-11",11480,11659
3626,"IMM0004","2023-12-22","2023-12-30",11659,12267
3189,"IMM0004","2023-12-27","2023-12-30",12267,12754
4437,"IMM0004","2023-12-29","2024-01-04",12754,12994
3861,"IMM0004","2024-01-21","2024-01-24",12994,13585
3791,"IMM0004","2024-02-09","2024-02-16",13585,13664
1993,"IMM0004","2024-02-15","2024-02-18",13664,13720
4144,"IMM0004","2024-02-28","2024-03-07",13720,14229
1856,"IMM0004","2024-03-02","2024-03-07",14229,14727
656,"IMM0004","2024-03-04","2024-03-05",14727,15193
1491,"IMM0004","2024-03-19","2024-03-28",15193,15476
1818,"IMM0004","2024-04-12","2024-04-17",15476,16179
2843,"IMM0004","2024-05-14","2024-05-20",16179,16720
1989,"IMM0004","2024-05-18","2024-05-24",16720,17205
1422,"IMM0004","2024-06-06","2024-06-10",17205,17920
1058,"IMM0004","2024-06-09","2024-06-17",17920,18481
300,"IMM0004","2024-07-03","2024-07-04",18481,18791
2709,"IMM0004","2024-07-06","2024-07-10",18791,19188
4348,"IMM0004","2024-07-10","2024-07-16",19188,19960
3849,"IMM0004","2024-07-11","2024-07-15",19960,20072
1031,"IMM0004","2024-07-24","2024-08-01",20072,20347
1037,"IMM0004","2024-09-29","2024-10-02",20347,20960
2822,"IMM0004","2024-10-02","2024-10-10",20960,21033
2558,"IMM0004","2024-10-12","2024-10-15",21033,21343
343,"IMM0004","2024-10-26","2024-10-29",21343,21732
2804,"IMM0004","2024-12-14","2024-12-20",21732,22079
3364,"IMM0004","2024-12-16","2024-12-25",22079,22747
1827,"IMM0004","2024-12-26","2024-12-31",22747,23257
238,"IMM0005","2023-01-11","2023-01-12",1990,2715
3468,"IMM0005","2023-02-09","2023-02-12",2715,3009
2145,"IMM0005","2023-03-12","2023-03-18",3009,3655
2286,"IMM0005","2023-03-14","2023-03-17",3655,4136
2250,"IMM0005","2023-04-17","2023-04-18",4136,4685
3380,"IMM0005","2023-04-17","2023-04-18",4685,5386
2647,"IMM0005","2023-06-16","2023-06-20",5386,5496
698,"IMM0005","2023-07-02","2023-07-05",5496,6281
387,"IMM0005","2023-07-11","2023-07-15",6281,6581
4192,"IMM0005","2023-08-01","2023-08-02",6581,7341
962,"IMM0005","2023-08-22","2023-08-26",7341,8129
4134,"IMM0005","2023-08-27","2023-09-04",8129,8272
3080,"IMM0005","2023-09-28","2023-10-01",8272,8879
1834,"IMM0005","2023-10-13","2023-10-17",8879,9293
3476,"IMM0005","2023-10-18","2023-10-27",9293,9982
437,"IMM0005","2023-10-20","2023-10-26",9982,10593
621,"IMM0005","2023-10-28","2023-10-29",10593,11196
139,"IMM0005","2023-11-01","2023-11-03",11196,11620
1790,"IMM0005","2023-12-05","2023-12-09",11620,12138
2296,"IMM0005","2023-12-18","2023-12-22",12138,12521
3308,"IMM0005","2023-12-27","2024-01-04",12521,12592
1060,"IMM0005","2024-01-04","2024-01-12",12592,13144
1358,"IMM0005","2024-01-25","2024-02-03",13144,13665
581,"IMM0005","2024-02-05","2024-02-11",13665,14105
2997,"IMM0005","2024-02-14","2024-02-24",14105,14596
3016,"IMM0005","2024-03-01","2024-03-09",14596,15359
2424,"IMM0005","2024-03-07","2024-03-13",15359,15915
2791,"IMM0005","2024-03-17","2024-03-27",15915,16316
3039,"IMM0005","2024-03-24","2024-03-30",16316,16392
2807,"IMM0005","2024-04-14","2024-04-20",16392,17106
1967,"IMM0005","2024-04-16","2024-04-23",17106,17293
680,"IMM0005","2024-04-21","2024-04-29",17293,17460
2461,"IMM0005","2024-05-03","2024-05-12",17460,17883
2345,"IMM0005","2024-05-26","2024-05-28",17883,18505
1838,"IMM0005","2024-06-11","2024-06-21",18505,18908
1315,"IMM0005","2024-06-24","2024-06-30",18908,19092
3007,"IMM0005","2024-07-01","2024-07-04",19092,19205
3713,"IMM0005","2024-07-04","2024-07-13",19205,19915
4102,"IMM0005","2024-07-11","2024-07-14",19915,20041
3231,"IMM0005","2024-07-25","2024-07-31",20041,20189
550,"IMM0005","2024-08-20","2024-08-30",20189,20883
1516,"IMM0005","2024-09-08","2024-09-10",20883,21239
3066,"IMM0005","2024-09-15","2024-09-23",21239,21591
2424,"IMM0005","2024-09-30","2024-10-06",21591,21793
492,"IMM0005","2024-10-14","2024-10-18",21793,21884
1111,"IMM0005","2024-10-22","2024-10-30",21884,22579
3160,"IMM0005","2024-10-26","2024-11-05",22579,22897
3795,"IMM0005","2024-11-18","2024-11-22",22897,22973
4202,"IMM0005","2024-11-18","2024-11-27",22973,23167
2460,"IMM0005","2024-12-07","2024-12-08",23167,23410
2969,"IMM0005","2024-12-07","2024-12-11",23410,23636
751,"IMM0005","2024-12-29","2024-12-31",23636,23977
1939,"IMM0006","2023-01-10","2023-01-13",2924,3306
2478,"IMM0006","2023-01-23","2023-01-30",3306,3364
708,"IMM0006","2023-01-28","2023-02-06",3364,4022
713,"IMM0006","2023-02-09","2023-02-11",4022,4280
2479,"IMM0006","2023-03-04","2023-03-08",4280,4598
4116,"IMM0006","2023-04-01","2023-04-07",4598,5132
563,"IMM0006","2023-04-01","2023-04-05",5132,5401
3543,"IMM0006","2023-04-03","2023-04-06",5401,5923
3503,"IMM0006","2023-05-20","2023-05-29",5923,6398
715,"IMM0006","2023-06-18","2023-06-21",6398,6953
1960,"IMM0006","2023-06-27","2023-07-02",6953,7134
951,"IMM0006","2023-06-30","2023-07-02",7134,7338
213,"IMM0006","2023-07-25","2023-07-28",7338,8022
708,"IMM0006","2023-08-28","2023-09-01",8022,8586
685,"IMM0006","2023-09-14","2023-09-18",8586,8676
756,"IMM0006","2023-09-16","2023-09-21",8676,9332
2502,"IMM0006","2023-10-17","2023-10-26",9332,9417
1334,"IMM0006","2023-10-20","2023-10-30",9417,10005
416,"IMM0006","2023-10-24","2023-11-02",10005,10613
4328,"IMM0006","2023-11-21","2023-11-23",10613,11255
3112,"IMM0006","2023-12-29","2024-01-05",11255,11614
2953,"IMM0006","2024-01-06","2024-01-09",11614,11856
959,"IMM0006","2024-03-22","2024-04-01",11856,12016
296,"IMM0006","2024-05-04","2024-05-13",12016,12223
575,"IMM0006","2024-05-04","2024-05-08",12223,12469
2630,"IMM0006","2024-07-18","2024-07-25",12469,13094
1695,"IMM0006","2024-08-04","2024-08-06",13094,13596
1242,"IMM0006","2024-08-08","2024-08-12",13596,14087
3267,"IMM0006","2024-08-12","2024-08-20",14087,14192
2461,"IMM0006","2024-08-19","2024-08-21",14192,14737
697,"IMM0006","2024-08-19","2024-08-20",14737,15457
1784,"IMM0006","2024-09-14","2024-09-23",15457,16083
756,"IMM0006","2024-10-21","2024-10-31",16083,16250
4147,"IMM0006","2024-11-02","2024-11-10",16250,16597
293,"IMM0006","2024-11-06","2024-11-12",16597,16677
918,"IMM0006","2024-12-20","2024-12-24",16677,17466
1688,"IMM0006","2024-12-25","2024-12-28",17466,17539
450,"IMM0007","2023-01-27","2023-02-02",2571,3327
3601,"IMM0007","2023-01-29","2023-01-30",3327,3569
3106,"IMM0007","2023-03-01","2023-03-05",3569,3680
3478,"IMM0007","2023-03-19","2023-03-26",3680,4202
187,"IMM0007","2023-03-20","2023-03-21",4202,4605
2302,"IMM0007","2023-03-20","2023-03-27",4605,5266
3252,"IMM0007","2023-04-06","2023-04-13",5266,6018
2012,"IMM0007","2023-05-01","2023-05-04",6018,6321
1788,"IMM0007","2023-06-05","2023-06-13",6321,6431
240,"IMM0007","2023-06-07","2023-06-15",6431,6591
2608,"IMM0007","2023-07-20","2023-07-29",6591,6650
217,"IMM0007","2023-08-02","2023-08-12",6650,7207
539,"IMM0007","2023-08-20","2023-08-25",7207,7928
398,"IMM0007","2023-09-12","2023-09-21",7928,8408
1622,"IMM0007","2023-09-20","2023-09-24",8408,8644
1772,"IMM0007","2023-09-27","2023-10-02",8644,8914
251,"IMM0007","2023-10-06","2023-10-13",8914,9309
4379,"IMM0007","2023-12-20","2023-12-28",9309,9659
2338,"IMM0007","2023-12-22","2023-12-31",9659,10419
4311,"IMM0007","2024-01-02","2024-01-11",10419,10666
1402,"IMM0007","2024-01-12","2024-01-16",10666,11195
2745,"IMM0007","2024-01-22","2024-02-01",11195,11994
43,"IMM0007","2024-02-05","2024-02-15",11994,12548
1528,"IMM0007","2024-02-08","2024-02-11",12548,13135
2663,"IMM0007","2024-03-16","2024-03-25",13135,13894
1159,"IMM0007","2024-04-09","2024-04-15",13894,14507
2767,"IMM0007","2024-04-15","2024-04-20",14507,14921
2592,"IMM0007","2024-05-01","2024-05-03",14921,15187
937,"IMM0007","2024-05-19","2024-05-29",15187,15667
197,"IMM0007","2024-05-22","2024-05-26",15667,16035
4255,"IMM0007","2024-05-24","2024-05-27",16035,16325
3510,"IMM0007","2024-05-30","2024-06-07",16325,16930
1690,"IMM0007","2024-06-15","2024-06-24",16930,17707
4007,"IMM0007","2024-08-29","2024-09-02",17707,18162
1578,"IMM0007","2024-10-19","2024-10-22",18162,18458
4358,"IMM0007","2024-10-29","2024-10-30",18458,18541
2115,"IMM0007","2024-10-30","2024-11-03",18541,19012
2092,"IMM0007","2024-11-09","2024-11-17",19012,19434
4251,"IMM0007","2024-12-21","2024-12-26",19434,19907
3450,"IMM0007","2024-12-25","2024-12-30",19907,20486
3107,"IMM0008","2023-01-05","2023-01-07",3015,3139
3393,"IMM0008","2023-02-08","2023-02-17",3139,3579
969,"IMM0008","2023-02-09","2023-02-11",3579,3943
3168,"IMM0008","2023-03-23","2023-03-24",3943,4196
3073,"IMM0008","2023-04-01","2023-04-03",4196,4337
4231,"IMM0008","2023-04-11","2023-04-21",4337,4557
3275,"IMM0008","2023-04-16","2023-04-17",4557,4947
2800,"IMM0008","2023-04-19","2023-04-25",4947,5723
2209,"IMM0008","2023-04-24","2023-05-01",5723,6132
2116,"IMM0008","2023-04-26","2023-04-29",6132,6589
4103,"IMM0008","2023-05-05","2023-05-09",6589,7027
4150,"IMM0008","2023-05-14","2023-05-19",7027,7314
4095,"IMM0008","2023-06-22","2023-06-30",7314,7455
2187,"IMM0008","2023-07-02","2023-07-03",7455,7708
2377,"IMM0008","2023-08-08","2023-08-13",7708,8405
2579,"IMM0008","2023-08-22","2023-08-27",8405,8801
2902,"IMM0008","2023-08-25","2023-09-01",8801,9285
235,"IMM0008","2023-09-17","2023-09-18",9285,9571
57,"IMM0008","2023-09-24","2023-09-26",9571,9715
3389,"IMM0008","2023-09-30","2023-10-03",9715,9920
4068,"IMM0008","2023-10-03","2023-10-06",9920,10195
4282,"IMM0008","2023-11-06","2023-11-13",10195,10846
3864,"IMM0008","2023-11-16","2023-11-21",10846,11599
1030,"IMM0008","2023-12-07","2023-12-09",11599,12316
3646,"IMM0008","2023-12-20","2023-12-24",12316,12765
4345,"IMM0008","2024-01-02","2024-01-06",12765,13362
3012,"IMM0008","2024-01-14","2024-01-15",13362,14006
2662,"IMM0008","2024-02-07","2024-02-15",14006,14077
1587,"IMM0008","2024-02-14","2024-02-19",14077,14157
697,"IMM0008","2024-02-14","2024-02-21",14157,14906
2955,"IMM0008","2024-03-17","2024-03-18",14906,15512
930,"IMM0008","2024-03-25","2024-03-27",15512,15755
3374,"IMM0008","2024-03-28","2024-04-02",15755,15824
1971,"IMM0008","2024-04-13","2024-04-18",15824,16414
2064,"IMM0008","2024-05-06","2024-05-15",16414,16742
1547,"IMM0008","2024-05-07","2024-05-15",16742,17266
278,"IMM0008","2024-05-17","2024-05-18",17266,18023
3441,"IMM0008","2024-06-09","2024-06-12",18023,18571
2710,"IMM0008","2024-06-09","2024-06-19",18571,18964
1017,"IMM0008","2024-07-11","2024-07-16",18964,19199
2912,"IMM0008","2024-08-11","2024-08-16",19199,19540
3172,"IMM0008","2024-12-24","2024-12-31",19540,20179
2698,"IMM0008","2024-12-29","2024-12-31",20179,20370
693,"IMM0008","2024-12-29","2024-12-31",20370,21132
742,"IMM0009","2023-01-08","2023-01-16",2823,2886
3811,"IMM0009","2023-01-13","2023-01-22",2886,3041
1028,"IMM0009","2023-02-17","2023-02-27",3041,3381
2768,"IMM0009","2023-02-24","2023-03-04",3381,3845
614,"IMM0009","2023-03-10","2023-03-14",3845,3936
2217,"IMM0009","2023-04-04","2023-04-14",3936,4294
2309,"IMM0009","2023-04-25","2023-04-27",4294,5059
2363,"IMM0009","2023-05-01","2023-05-04",5059,5749
2009,"IMM0009","2023-05-14","2023-05-20",5749,6529
2873,"IMM0009","2023-06-16","2023-06-19",6529,7133
1655,"IMM0009","2023-06-22","2023-06-26",7133,7677
1385,"IMM0009","2023-07-08","2023-07-17",7677,8210
2943,"IMM0009","2023-07-29","2023-08-05",8210,8934
4030,"IMM0009","2023-08-06","2023-08-16",8934,9552
1022,"IMM0009","2023-08-22","2023-08-26",9552,9651
1135,"IMM0009","2023-08-28","2023-09-04",9651,10034
3100,"IMM0009","2023-10-05","2023-10-10",10034,10736
3739,"IMM0009","2023-10-13","2023-10-21",10736,10884
679,"IMM0009","2023-10-19","2023-10-25",10884,11464
1065,"IMM0009","2023-11-10","2023-11-12",11464,12051
3840,"IMM0009","2023-11-17","2023-11-18",12051,12792
4275,"IMM0009","2023-11-23","2023-12-03",12792,13126
598,"IMM0009","2023-12-18","2023-12-19",13126,13675
990,"IMM0009","2023-12-29","2023-12-31",13675,14151
977,"IMM0009","2024-02-24","2024-02-26",14151,14508
3288,"IMM0009","2024-02-29","2024-03-05",14508,14818
3128,"IMM0009","2024-03-08","2024-03-10",14818,14973
4136,"IMM0009","2024-03-21","2024-03-25",14973,15084
3748,"IMM0009","2024-04-02","2024-04-08",15084,15444
1413,"IMM0009","2024-04-17","2024-04-22",15444,15995
1744,"IMM0009","2024-05-01","2024-05-10",15995,16604
2757,"IMM0009","2024-05-13","2024-05-16",16604,16900
4072,"IMM0009","2024-05-27","2024-06-04",16900,17249
4060,"IMM0009","2024-06-10","2024-06-18",17249,17303
463,"IMM0009","2024-07-18","2024-07-26",17303,17926
992,"IMM0009","2024-08-16","2024-08-19",17926,18324
1985,"IMM0009","2024-08-22","2024-08-25",18324,18716
777,"IMM0009","2024-09-12","2024-09-15",18716,18854
253,"IMM0009","2024-10-25","2024-11-03",18854,19071
1360,"IMM0009","2024-11-09","2024-11-16",19071,19615
495,"IMM0009","2024-11-21","2024-12-01",19615,20083
3325,"IMM0009","2024-11-30","2024-12-07",20083,20878
160,"IMM0009","2024-12-04","2024-12-07",20878,21482
3526,"IMM0009","2024-12-14","2024-12-20",21482,22268
1666,"IMM0009","2024-12-15","2024-12-24",22268,22538
2958,"IMM0009","2024-12-29","2024-12-31",22538,22652
1267,"IMM0010","2023-01-02","2023-01-09",3698,4251
2495,"IMM0010","2023-01-10","2023-01-19",4251,4751
3354,"IMM0010","2023-01-15","2023-01-18",4751,5431
3358,"IMM0010","2023-01-22","2023-01-28",5431,5541
3890,"IMM0010","2023-02-05","2023-02-10",5541,6280
2204,"IMM0010","2023-02-07","2023-02-13",6280,6734
2595,"IMM0010","2023-02-17","2023-02-25",6734,6920
3499,"IMM0010","2023-03-04","2023-03-12",6920,7374
2953,"IMM0010","2023-04-22","2023-04-27",7374,7515
4177,"IMM0010","2023-05-17","2023-05-20",7515,8079
844,"IMM0010","2023-06-18","2023-06-26",8079,8729
2224,"IMM0010","2023-07-13","2023-07-21",8729,9267
2868,"IMM0010","2023-08-19","2023-08-20",9267,9358
1588,"IMM0010","2023-08-29","2023-09-03",9358,9749
1085,"IMM0010","2023-09-09","2023-09-12",9749,9861
1523,"IMM0010","2023-10-05","2023-10-12",9861,10094
3254,"IMM0010","2023-10-07","2023-10-17",10094,10375
478,"IMM0010","2023-11-11","2023-11-15",10375,10553
3187,"IMM0010","2024-02-17","2024-02-22",10553,10956
1408,"IMM0010","2024-02-24","2024-03-01",10956,11459
1825,"IMM0010","2024-03-02","2024-03-06",11459,11519
271,"IMM0010","2024-03-21","2024-03-29",11519,11833
322,"IMM0010","2024-04-02","2024-04-09",11833,12115
2745,"IMM0010","2024-04-28","2024-04-30",12115,12608
4219,"IMM0010","2024-05-14","2024-05-20",12608,12808
1217,"IMM0010","2024-05-25","2024-05-30",12808,13334
3275,"IMM0010","2024-05-31","2024-06-08",13334,13760
1001,"IMM0010","2024-06-08","2024-06-11",13760,14160
1640,"IMM0010","2024-06-11","2024-06-19",14160,14858
203,"IMM0010","2024-06-16","2024-06-17",14858,15645
2935,"IMM0010","2024-06-24","2024-06-28",15645,16104
3344,"IMM0010","2024-06-26","2024-07-06",16104,16367
1591,"IMM0010","2024-08-07","2024-08-10",16367,16921
3560,"IMM0010","2024-08-16","2024-08-20",16921,17193
2113,"IMM0010","2024-08-30","2024-09-02",17193,17396
4365,"IMM0010","2024-10-08","2024-10-14",17396,18159
3279,"IMM0010","2024-11-15","2024-11-18",18159,18741
1892,"IMM0010","2024-11-30","2024-12-08",18741,18934
1795,"IMM0010","2024-12-22","2024-12-30",18934,19674
1448,"IMM0010","2024-12-24","2024-12-27",19674,20069
3989,"IMM0011","2023-01-08","2023-01-17",343,1033
104,"IMM0011","2023-01-12","2023-01-17",1033,1558
1796,"IMM0011","2023-02-04","2023-02-12",1558,1711
4291,"IMM0011","2023-02-06","2023-02-12",1711,2464
932,"IMM0011","2023-02-24","2023-03-04",2464,2945
3160,"IMM0011","2023-03-26","2023-04-04",2945,3011
3164,"IMM0011","2023-04-15","2023-04-20",3011,3439
2921,"IMM0011","2023-05-07","2023-05-12",3439,3798
1181,"IMM0011","2023-05-11","2023-05-13",3798,4224
4010,"IMM0011","2023-05-26","2023-06-04",4224,4501
3798,"IMM0011","2023-07-15","2023-07-25",4501,5235
1289,"IMM0011","2023-07-21","2023-07-28",5235,5581
247,"IMM0011","2023-07-22","2023-07-28",5581,5842
1192,"IMM0011","2023-07-29","2023-08-06",5842,6094
3512,"IMM0011","2023-08-01","2023-08-10",6094,6686
2971,"IMM0011","2023-08-01","2023-08-11",6686,6945
2156,"IMM0011","2023-08-04","2023-08-07",6945,7533
1749,"IMM0011","2023-08-23","2023-09-02",7533,7621
1811,"IMM0011","2023-08-27","2023-09-06",7621,8138
3840,"IMM0011","2023-08-27","2023-09-05",8138,8410
1731,"IMM0011","2023-09-15","2023-09-17",8410,9170
3050,"IMM0011","2023-10-01","2023-10-02",9170,9463
1352,"IMM0011","2023-10-15","2023-10-17",9463,10121
4177,"IMM0011","2023-11-16","2023-11-22",10121,10766
3446,"IMM0011","2024-01-04","2024-01-10",10766,11187
662,"IMM0011","2024-01-11","2024-01-12",11187,11367
2717,"IMM0011","2024-02-13","2024-02-14",11367,11822
3571,"IMM0011","2024-04-01","2024-04-08",11822,12536
4293,"IMM0011","2024-04-27","2024-05-04",12536,13239
302,"IMM0011","2024-06-10","2024-06-17",13239,13950
3750,"IMM0011","2024-06-30","2024-07-04",13950,14304
4049,"IMM0011","2024-07-04","2024-07-11",14304,14836
767,"IMM0011","2024-07-10","2024-07-15",14836,15467
